co,id2_intermedio,id3_intermedio
0200300994X,5339,10097
0200300995X,5340,10098
0200300996X,5341,10099
0200300997X,5342,10100
0200300998X,5343,10101
0200300999X,5344,10102
0200301000X,5345,10103
0200301001X,5346,10104
0200301002X,5347,10105
0200301003X,5348,10106
0200301004X,5349,10107
0200301005X,5350,10108
0200301006X,5351,10109
0200301007X,5352,10110
0200301008X,5353,10111
0200301009X,5354,10112
0200301010X,5355,10113
0200301011X,5356,10114
0200301012X,5357,10115
0200301013X,5358,10116
0200301014X,5359,10117
0200301015X,5360,10118
0200301016X,5361,10119
0200301017X,5362,10120
0200301018X,5363,10121
0200301019X,5364,10122
0200301020X,5365,10123
0200301021X,5366,10124
0200301022X,5367,10125
0200301023X,5368,10126
0200301024X,5369,10127
0200301025X,5370,10128
0200301026X,5371,10129
0200301027X,5372,10130
0200301028X,5373,10131
0200301029X,5374,10132
0200301030X,5375,10133
0200301031X,5376,10134
0200301032X,5377,10135
0200301033X,5378,10136
0200301034X,5379,10137
0200301035X,5380,10138
0200301036X,5381,10139
0200301037X,5382,10140
0200301038X,5383,10141
0200301039X,5384,10142
0200301040X,5385,10143
0200301041X,5386,10144
0200301042X,5387,10145
0200301043X,5388,10146
0200301044X,5389,10147
0200301045X,5390,10148
0200301046X,5391,10149
0200301047X,5392,10150
0200301048X,5393,10151
0200301049X,5394,10152
0200301050X,5395,10153
0200301051X,5396,10154
0200301052X,5397,10155
0200301053X,5398,10156
0200301054X,5399,10157
0200301055X,5400,10158
0200301056X,5401,10159
0200301057X,5402,10160
0200301058X,5403,10161
0200301059X,5404,10162
0200301060X,5405,10163
0200301061X,5406,10164
0200301062X,5407,10165
0200301063X,5408,10166
0200301064X,5409,10167
0200301065X,5410,10168
0200301066X,5411,10169
0200301067X,5412,10170
0200301068X,5413,10171
0200301069X,5414,10172
0200301070X,5415,10173
0200301071X,5416,10174
0200301072X,5417,10175
0200301073X,5418,10176
0200301074X,5419,10177
0200301075X,5420,10178
0200301076X,5421,10179
0200301077X,5422,10180
0200301078X,5423,10181
0200301079X,5424,10182
0200301080X,5425,10183
0200301081X,5426,10184
0200301082X,5427,10185
